,AirportID,Latitude,Longitude,AirportLatitude,AirportLongitude,PayingPax,Fare,Distance_mile
160,PHX,33.545272,-111.89224,33.435893,-112.008254,1,21.0,14.2318145861
161,PHX,33.496482,-111.924681,33.435893,-112.008254,1,17.0,8.99567489943
162,PHX,33.408114,-111.68446,33.435893,-112.008254,1,21.0,20.567526521
163,PHX,33.378056,-111.97056,33.435893,-112.008254,1,15.0,6.16314720847
164,PHX,33.538605,-111.86971,33.435893,-112.008254,1,21.0,15.0693490837
165,PHX,33.6813,-111.9662,33.435893,-112.008254,1,23.0,19.3606992229
166,PHX,33.451859,-112.07003,33.435893,-112.008254,1,13.0,4.66023161173
167,PHX,33.451859,-112.07003,33.435893,-112.008254,1,13.0,4.66023161173
168,PHX,33.350044,-111.974612,33.435893,-112.008254,1,17.0,7.86319541271
169,PHX,33.449593,-112.07132,33.435893,-112.008254,1,13.0,4.57813076474
170,PHX,33.510108,-111.92439,33.435893,-112.008254,1,17.0,9.95292735482
171,PHX,33.538605,-111.86971,33.435893,-112.008254,1,21.0,15.0693490837
172,PHX,33.451859,-112.07003,33.435893,-112.008254,2,26.0,4.66023161173
173,PHX,33.545272,-111.89224,33.435893,-112.008254,1,21.0,14.2318145861
174,PHX,33.614162,-111.893,33.435893,-112.008254,1,20.0,18.9429518954
175,PHX,33.412016,-111.970081,33.435893,-112.008254,1,13.0,3.8467564252
176,PHX,33.412247,-111.97235,33.435893,-112.008254,1,15.0,3.7001204923
177,PHX,33.548098,-111.91671,33.435893,-112.008254,1,21.0,13.0174253904
178,PHX,33.482229,-112.07568,33.435893,-112.008254,1,15.0,7.08185772112
179,PHX,33.51066,-112.0251,33.435893,-112.008254,1,15.0,6.13086465449
180,PHX,33.486226,-111.925466,33.435893,-112.008254,2,34.0,8.24257208965
181,PHX,33.548745,-111.91569,33.435893,-112.008254,1,21.0,13.1208333703
182,PHX,33.634176,-112.377086,33.435893,-112.008254,1,32.0,34.9301566615
183,PHX,33.449946,-112.071984,33.435893,-112.008254,1,13.0,4.64074112926
184,PHX,33.62296,-111.93392,33.435893,-112.008254,1,20.0,17.1932591659
185,PHX,33.449824,-112.071894,33.435893,-112.008254,2,26.0,4.62713656802
186,PHX,33.62296,-111.93392,33.435893,-112.008254,1,21.0,17.1932591659
187,PHX,33.452292,-112.070359,33.435893,-112.008254,1,13.0,4.70906809151
188,PHX,33.362602,-111.84107,33.435893,-112.008254,1,17.0,14.688290382
189,PHX,33.449946,-112.071984,33.435893,-112.008254,1,13.0,4.64074112926
190,PHX,33.451859,-112.07003,33.435893,-112.008254,2,26.0,4.66023161173
191,PHX,33.449946,-112.071984,33.435893,-112.008254,2,26.0,4.64074112926
192,PHX,33.493499,-111.933452,33.435893,-112.008254,2,32.0,8.28458295375
193,PHX,33.451859,-112.07003,33.435893,-112.008254,1,13.0,4.66023161173
194,PHX,33.449593,-112.07132,33.435893,-112.008254,2,26.0,4.57813076474
195,PHX,33.449593,-112.07132,33.435893,-112.008254,2,26.0,4.57813076474
196,PHX,33.574348,-112.11662,33.435893,-112.008254,1,17.0,15.7981764233
197,PHX,33.449946,-112.071984,33.435893,-112.008254,1,13.0,4.64074112926
198,PHX,33.516701,-112.03003,33.435893,-112.008254,1,15.0,6.8317879666
199,PHX,33.403086,-111.662773,33.435893,-112.008254,2,41.0,22.163713838
200,PHX,33.449946,-112.071984,33.435893,-112.008254,1,13.0,4.64074112926
201,PHX,33.449946,-112.071984,33.435893,-112.008254,1,13.0,4.64074112926
202,PHX,33.452292,-112.070359,33.435893,-112.008254,1,12.0,4.70906809151
203,PHX,33.452292,-112.070359,33.435893,-112.008254,1,13.0,4.70906809151
204,PHX,33.624801,-111.933007,33.435893,-112.008254,1,20.0,17.3729161068
205,PHX,33.625796,-111.932793,33.435893,-112.008254,1,20.0,17.4539189705
206,PHX,33.548922,-111.91534,33.435893,-112.008254,1,21.0,13.1532098425
207,PHX,33.449946,-112.071984,33.435893,-112.008254,1,13.0,4.64074112926
208,PHX,33.449946,-112.071984,33.435893,-112.008254,2,26.0,4.64074112926
209,PHX,33.449946,-112.071984,33.435893,-112.008254,2,26.0,4.64074112926
210,PHX,33.583504,-111.790131,33.435893,-112.008254,2,50.0,22.7520202127
211,PHX,33.582755,-111.96057,33.435893,-112.008254,1,21.0,12.8832267765
212,PHX,33.449946,-112.071984,33.435893,-112.008254,1,13.0,4.64074112926
213,PHX,33.451666,-112.073045,33.435893,-112.008254,1,13.0,4.82057106843
